student_id,family_income,parent1_education,parent2_education,family_size,single_parent_household,neighborhood_median_income,urban_rural,high_school_gpa,sat_math,sat_reading,ap_classes_taken,extracurricular_activities,volunteer_hours,university_tier,major_category,scholarship_amount,working_student,graduation_rate,sat_total,student_name,ses_score
1,184665,Less than High School,Doctorate,5,FALSE,109882,Urban,2.18,310,563,3,1,130,Top Tier,Social Sciences,0,TRUE,0.53,873,wOMucZPe,0.6
2,188674,High School,Bachelor's,4,TRUE,122699,Rural,2.42,509,661,3,2,10,Mid Tier,Humanities,0,TRUE,0.99,1170,PLsWoUBV,0.84
3,71505,Less than High School,Some College,2,TRUE,103756,Urban,2.05,742,526,1,2,100,Mid Tier,Business,1000,TRUE,0.75,1268,LhYeFAxc,1.15
4,169481,Bachelor's,Master's,5,TRUE,37719,Suburban,2.31,713,737,2,1,70,Lower Tier,Arts,0,FALSE,0.84,1450,AdVQftfM,-0.26
5,135514,Bachelor's,Less than High School,4,TRUE,119789,Urban,2.03,249,716,1,2,80,Top Tier,Humanities,1000,FALSE,0.78,965,ufapJeKW,0.62
6,113437,High School,Some College,3,FALSE,58289,Urban,3.61,675,617,0,2,140,Top Tier,STEM,1000,TRUE,0.77,1292,MGnscLzr,0.54
7,152586,Some College,Some College,4,FALSE,148678,Suburban,2.99,629,377,0,1,100,Mid Tier,Arts,0,TRUE,0.75,1006,foanbUqA,1.87
8,44240,Some College,Less than High School,6,FALSE,33962,Urban,3.07,580,623,3,3,40,Top Tier,Arts,0,TRUE,0.57,1203,emEQdHIG,-1.54
9,138259,High School,High School,3,FALSE,103955,Suburban,2.22,431,583,2,1,120,Mid Tier,Business,0,TRUE,0.58,1014,EPCSHrgg,0.44
10,146912,Less than High School,Bachelor's,6,TRUE,124032,Urban,2.14,466,789,1,2,80,Mid Tier,Arts,0,TRUE,0.72,1255,iPQcfqhN,0.09
11,102394,Bachelor's,High School,4,FALSE,137347,Urban,2.02,768,241,0,3,20,Mid Tier,Arts,5000,TRUE,0.92,1009,XuqOqVLd,0.22
